kaggle_row_id,model_name,provider,hf_repo_id
0,DeepSeek-4,Deepseek,
1,Llama-8,Meta AI,
2,Llama-5,Meta AI,
3,DeepSeek-3,Deepseek,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B
4,DeepSeek-8,Deepseek,deepseek-ai/DeepSeek-R1-Distill-Llama-8B
5,Llama-4,Meta AI,meta-llama/Llama-4-Scout-17B-16E-Instruct
6,Nova-8,AWS,
7,Claude-6,Anthropic,
8,Llama-2,Meta AI,meta-llama/Llama-2-7b-hf
9,Nova-6,AWS,
10,Gemini-5,Google,
11,GPT-6,OpenAI,
12,Llama-9,Meta AI,
13,GPT-3,OpenAI,
14,Command-7,Cohere,CohereLabs/c4ai-command-r7b-12-2024
15,Command-9,Cohere,
16,Claude-5,Anthropic,
17,Claude-7,Anthropic,
18,Llama-9,Meta AI,
19,DeepSeek-2,Deepseek,deepseek-ai/DeepSeek-V2-Lite-Chat
20,Command-9,Cohere,
21,Command-2,Cohere,CohereLabs/command-a-vision-07-2025
22,Gemini-9,Google,
23,Gemini-5,Google,
24,Gemini-4,Google,
25,Command-7,Cohere,CohereLabs/c4ai-command-r7b-12-2024
26,Command-8,Cohere,
27,DeepSeek-3,Deepseek,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B
28,Mistral-1,Mistral AI,
29,Command-2,Cohere,CohereLabs/command-a-vision-07-2025
30,Nova-4,AWS,
31,Gemini-6,Google,
32,Mistral-4,Mistral AI,
33,Mistral-2,Mistral AI,
34,Gemini-2,Google,
35,Gemini-4,Google,
36,Mistral-8,Mistral AI,
37,Mistral-7,Mistral AI,
38,Command-9,Cohere,
39,Mistral-8,Mistral AI,
40,Llama-2,Meta AI,meta-llama/Llama-2-7b-hf
41,DeepSeek-5,Deepseek,deepseek-ai/deepseek-coder-5.7bmqa-base
42,Nova-9,AWS,
43,Command-9,Cohere,
44,Llama-1,Meta AI,
45,GPT-7,OpenAI,
46,GPT-8,OpenAI,
47,GPT-8,OpenAI,
48,Nova-3,AWS,
49,GPT-8,OpenAI,
